iter	Passed	Remaining
607	22839	14725
608	22872	14684
609	22910	14647
610	22956	14615
611	22992	14576
612	23027	14538
613	23061	14497
614	23094	14457
615	23132	14420
616	23168	14381
617	23205	14343
618	23244	14307
619	23279	14268
620	23322	14233
621	23360	14196
622	23396	14158
623	23432	14119
624	23471	14083
625	23516	14049
626	23558	14014
627	23601	13980
628	23635	13940
629	23670	13901
630	23707	13863
631	23744	13825
632	23780	13787
633	23813	13747
634	23845	13706
635	23879	13667
636	23916	13628
637	23957	13593
638	23997	13557
639	24035	13519
640	24073	13482
641	24104	13441
642	24141	13403
643	24176	13364
644	24212	13326
645	24245	13286
646	24281	13247
647	24322	13212
648	24359	13174
649	24397	13137
650	24430	13097
651	24472	13062
652	24508	13023
653	24549	12987
654	24582	12947
655	24616	12908
656	24650	12869
657	24684	12830
658	24721	12792
659	24758	12754
660	24791	12714
661	24821	12673
662	24857	12634
663	24892	12596
664	24924	12556
665	24963	12519
666	25001	12482
667	25036	12443
668	25074	12406
669	25106	12365
670	25140	12326
671	25177	12289
672	25215	12251
673	25248	12212
674	25284	12173
675	25317	12134
676	25356	12097
677	25393	12059
678	25429	12022
679	25467	11984
680	25503	11946
681	25537	11907
682	25578	11871
683	25611	11832
684	25644	11792
685	25680	11754
686	25719	11717
687	25756	11680
688	25795	11643
689	25833	11606
690	25866	11566
691	25902	11528
692	25944	11493
693	25977	11454
694	26012	11415
695	26045	11376
696	26079	11337
697	26120	11301
698	26156	11263
699	26192	11225
700	26228	11187
701	26269	11151
702	26307	11114
703	26340	11074
704	26376	11036
705	26414	10999
706	26446	10960
707	26479	10920
708	26522	10885
709	26553	10845
710	26585	10806
711	26616	10766
712	26647	10726
713	26683	10688
714	26721	10651
715	26755	10612
716	26791	10574
717	26827	10536
718	26867	10500
719	26903	10462
720	26939	10424
721	26974	10386
722	27013	10349
723	27045	10310
724	27074	10269
725	27110	10231
726	27142	10192
727	27176	10153
728	27212	10115
729	27244	10076
730	27280	10038
731	27312	9999
732	27343	9960
733	27379	9922
734	27410	9882
735	27446	9844
736	27483	9807
737	27513	9767
738	27551	9730
739	27588	9693
740	27622	9654
741	27657	9616
742	27693	9578
743	27727	9540
744	27758	9501
745	27790	9462
746	27828	9425
747	27861	9386
748	27901	9350
749	27937	9312
750	27973	9274
751	28005	9235
752	28039	9197
753	28072	9158
754	28103	9119
755	28137	9081
756	28169	9042
757	28207	9005
758	28241	8967
759	28274	8928
760	28312	8891
761	28351	8855
762	28389	8818
763	28421	8779
764	28460	8742
765	28498	8705
766	28535	8668
767	28571	8631
768	28608	8593
769	28642	8555
770	28675	8517
771	28717	8481
772	28758	8445
773	28788	8405
774	28823	8367
775	28853	8328
776	28884	8290
777	28917	8251
778	28950	8213
779	28982	8174
780	29018	8137
781	29053	8099
782	29089	8061
783	29128	8025
784	29159	7986
785	29193	7948
786	29231	7911
787	29271	7875
788	29306	7837
789	29337	7798
790	29377	7762
791	29408	7723
792	29446	7686
793	29485	7649
794	29514	7610
795	29546	7572
796	29583	7535
797	29622	7498
798	29660	7461
799	29697	7424
800	29734	7387
801	29764	7348
802	29801	7311
803	29837	7273
804	29869	7235
805	29902	7197
806	29934	7159
807	29978	7123
808	30015	7086
809	30053	7049
810	30085	7011
811	30121	6973
812	30157	6936
813	30194	6899
814	30228	6861
815	30269	6825
816	30305	6788
817	30334	6749
818	30372	6712
819	30405	6674
820	30445	6637
821	30481	6600
822	30518	6563
823	30561	6527
824	30599	6490
825	30634	6453
826	30667	6415
827	30703	6378
828	30739	6340
829	30771	6302
830	30805	6264
831	30835	6226
832	30868	6188
833	30899	6150
834	30935	6113
835	30974	6076
836	31009	6038
837	31042	6001
838	31083	5964
839	31118	5927
840	31150	5889
841	31193	5853
842	31233	5816
843	31273	5780
844	31303	5742
845	31346	5706
846	31377	5667
847	31409	5630
848	31444	5592
849	31479	5555
850	31510	5517
851	31547	5480
852	31584	5442
853	31625	5406
854	31657	5368
855	31691	5331
856	31729	5294
857	31762	5256
858	31795	5219
859	31832	5182
860	31873	5145
861	31910	5108
862	31945	5071
863	31979	5033
864	32017	4996
865	32052	4959
866	32085	4922
867	32127	4885
868	32164	4848
869	32199	4811
870	32235	4774
871	32271	4737
872	32309	4700
873	32346	4663
874	32390	4627
875	32420	4589
876	32455	4551
877	32490	4514
878	32523	4477
879	32560	4440
880	32603	4403
881	32634	4366
882	32666	4328
883	32700	4290
884	32737	4253
885	32778	4217
886	32816	4180
887	32854	4143
888	32894	4107
889	32925	4069
890	32962	4032
891	33005	3996
892	33043	3959
893	33078	3922
894	33112	3884
895	33150	3847
896	33185	3810
897	33227	3774
898	33259	3736
899	33297	3699
900	33332	3662
901	33364	3624
902	33402	3588
903	33435	3550
904	33470	3513
905	33511	3476
906	33549	3440
907	33583	3402
908	33618	3365
909	33655	3328
910	33691	3291
911	33732	3254
912	33769	3217
913	33803	3180
914	33840	3143
915	33885	3107
916	33923	3070
917	33959	3033
918	33992	2996
919	34027	2958
920	34057	2921
921	34095	2884
922	34132	2847
923	34170	2810
924	34201	2773
925	34236	2735
926	34270	2698
927	34305	2661
928	34339	2624
929	34378	2587
930	34415	2550
931	34447	2513
932	34479	2476
933	34510	2438
934	34547	2401
935	34581	2364
936	34612	2327
937	34646	2290
938	34686	2253
939	34724	2216
940	34763	2179
941	34798	2142
942	34833	2105
943	34865	2068
944	34900	2031
945	34935	1994
946	34972	1957
947	35014	1920
948	35047	1883
949	35090	1846
950	35124	1809
951	35162	1772
952	35199	1735
953	35237	1699
954	35281	1662
955	35321	1625
956	35352	1588
957	35385	1551
958	35418	1514
959	35450	1477
960	35488	1440
961	35519	1403
962	35563	1366
963	35598	1329
964	35632	1292
965	35663	1255
966	35700	1218
967	35742	1181
968	35777	1144
969	35809	1107
970	35846	1070
971	35883	1033
972	35921	996
973	35958	959
974	35993	922
975	36030	885
976	36065	849
977	36102	812
978	36133	775
979	36172	738
980	36213	701
981	36245	664
982	36278	627
983	36315	590
984	36352	553
985	36396	516
986	36430	479
987	36468	442
988	36501	405
989	36540	369
990	36577	332
991	36611	295
992	36647	258
993	36685	221
994	36720	184
995	36758	147
996	36790	110
997	36823	73
998	36855	36
999	36896	0
